,test,fname,workload,bpk,Z,ZD,N,fpr_monkey,fpr_binarysearch,fpr_scan,t_monkey,t_binarysearch,t_scan,zeroes
84,test10,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.0,0,1,3.70418e-07,3.70418e-07,3.70418e-07,0.07558889999999999,5.9370299999999996e-05,5.61912e-05,0.0
85,test10,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.0,0,1,2.0518200000000003e-08,2.0518200000000003e-08,2.0518200000000003e-08,0.07716060000000001,5.8539200000000004e-05,5.84475e-05,0.0
86,test10,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.0,0,1,1.13655e-09,1.13655e-09,1.13655e-09,0.0744813,5.90076e-05,5.5624899999999997e-05,0.0
87,test10,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.0,0,1,6.29556e-11,6.29557e-11,6.29556e-11,0.06881749999999999,5.86886e-05,5.55868e-05,0.0
88,test10,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.0,3,1,0.0421457,0.0421457,0.0421457,0.061549,5.44761e-05,5.26347e-05,0.0
89,test10,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.0,3,1,0.00257433,0.00257434,0.00257433,0.0605196,5.4363e-05,5.215600000000001e-05,0.0
90,test10,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.0,3,1,0.000157245,0.000157245,0.000157245,0.0649749,5.43025e-05,5.21584e-05,0.0
91,test10,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.0,3,1,9.6048e-06,9.6048e-06,9.6048e-06,0.0640598,5.4183e-05,5.17802e-05,0.0
92,test10,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.0,3,1,5.86678e-07,5.86678e-07,5.86678e-07,0.0626365,5.87957e-05,5.4745200000000006e-05,0.0
93,test10,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.0,3,1,3.58353e-08,3.58353e-08,3.58353e-08,0.072588,5.52567e-05,5.17242e-05,0.0
94,test10,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.0,3,1,2.18888e-09,2.18888e-09,2.18888e-09,0.070421,5.5241e-05,5.22375e-05,0.0
